date,pm10,pm25,co,no2,so2,o3,dust
2/25/2014,13.51666667,6.870833333,,21.99583333,,63.16666667,
2/26/2014,18.94583333,7.879166667,,35.00416667,,40.66666667,
2/27/2014,17.52916667,8.245833333,,28.61666667,,55.58333333,
2/28/2014,11.97083333,7.8625,,37.20833333,,37.58333333,
3/1/2014,27.8375,19.77083333,,45.11666667,,25.95833333,
3/2/2014,17.325,10.5375,,29.81666667,,48.58333333,
3/3/2014,12.98333333,8.554166667,,37.99583333,,44.79166667,
3/4/2014,22.45,15.15,,53.8375,,15.875,
3/5/2014,27.19583333,17.425,,57.2875,,15.45833333,
3/6/2014,24.4,16.03333333,,35.13333333,,39.20833333,
3/7/2014,19.85833333,13.17916667,,34.06666667,,43.125,
3/8/2014,29.65,23.18333333,,29.10416667,,47.54166667,
3/9/2014,41.3625,32.05,,37.17916667,,50.58333333,
3/10/2014,31.5875,22.14583333,,40.50416667,,37.45833333,
3/11/2014,26.40416667,15.05833333,,24.47083333,,55.33333333,
3/12/2014,42.3125,31.275,,40.40833333,,20.95833333,
3/13/2014,70.2625,57.04166667,,55.525,,13.66666667,
3/14/2014,68.2375,57.94583333,,55.88333333,,15.70833333,
3/15/2014,23.20416667,14.23333333,,27.55833333,,49.375,
3/16/2014,15.65833333,10.8625,,27.74166667,,50.45833333,
3/17/2014,21.40833333,14.57916667,,35.8375,,27.08333333,
3/18/2014,17.925,10.67916667,,29.75833333,,45.54166667,
3/19/2014,23.57916667,11.59166667,,31.375,,45.91666667,
3/20/2014,26.00833333,15.27083333,,21.7875,,65.95833333,
3/21/2014,13.525,6.383333333,,23.62916667,,61.54166667,
3/22/2014,9.641666667,5.816666667,,21.05,,67.79166667,
3/23/2014,9.85,6.429166667,,25.37083333,,51.20833333,
3/24/2014,15.175,10.89583333,,36.0375,,39.91666667,
3/25/2014,17.8625,12.44583333,,31.82083333,,49.45833333,
3/26/2014,22.075,15.42916667,,34.1125,,36.45833333,
3/27/2014,27.84166667,22.54583333,,40.10833333,,28.66666667,
3/28/2014,44.66666667,34.5,,40.54166667,,31.83333333,
3/29/2014,48.69166667,37.41666667,,44.575,,35.08333333,
3/30/2014,43.40416667,28.02083333,,49.97916667,,35.66666667,
3/31/2014,32.61666667,21.76666667,,50.82083333,,39.16666667,
4/1/2014,38.25833333,27.99166667,,57.13333333,,24.20833333,
4/2/2014,60.575,43.95416667,,56.65,,22.08333333,
4/3/2014,59.67916667,32.9625,,44.5375,,24.66666667,
4/4/2014,31.33333333,21.93333333,,36.675,,32.95833333,
4/5/2014,15.425,9.9875,,28.51666667,,46,
4/6/2014,12.3875,7.6125,,16.47916667,,46.375,
4/7/2014,9.258333333,6.55,,20.56666667,,45.45833333,
4/8/2014,12.62916667,6.329166667,,23.02083333,,65.04166667,
4/9/2014,21.15416667,12.38333333,,39.1125,,40.41666667,
4/10/2014,22.025,14.1375,,41.09583333,,37.95833333,
4/11/2014,20.8375,14.175,,36.24583333,,44.70833333,
4/12/2014,22.90833333,16.2625,,39.96666667,,41.125,
4/13/2014,18.97916667,10.80833333,,25.4875,,56.08333333,
4/14/2014,19.0375,10.175,,22.10416667,,62.83333333,
4/15/2014,17.1875,9.158333333,,28.8625,,49.83333333,
4/16/2014,23.69583333,13.18333333,,34.36666667,,48.5,
4/17/2014,28.675,18.9625,,38.01666667,,47.91666667,
4/18/2014,16.67916667,8.129166667,,18.6125,,65.20833333,
4/19/2014,16.20833333,8.383333333,,18.125,,67.04166667,
4/20/2014,41.7,30.81666667,,26.55,,52.04166667,
4/21/2014,38.84583333,31.775,,36.78333333,,43.5,
4/22/2014,18.60416667,14.00833333,,27.09166667,,57,
4/23/2014,18.91666667,11.79583333,,26.6,,58.66666667,
4/24/2014,18.3125,12.425,,40.325,,47.20833333,
4/25/2014,24.50416667,20.55416667,,34.7375,,33.5,
4/26/2014,14.08333333,9.154166667,,20.9,,63.58333333,
4/27/2014,11.05416667,7.958333333,,20.45416667,,60.41666667,
4/28/2014,25.3125,19.0375,,28.175,,44.79166667,
4/29/2014,33.0875,24.54166667,,33.65833333,,37.375,
4/30/2014,30.0625,23.1,,43.9,,34.75,
5/1/2014,19.75,15.20833333,,41.025,,36.83333333,
5/2/2014,18.52083333,11.5,,20.20833333,,62.95833333,
5/3/2014,14.21666667,9.1875,,22,,58.625,
5/4/2014,17.99583333,12.85416667,,27.3625,,62.66666667,
5/5/2014,23,17.8625,,26.95833333,,70.33333333,
5/6/2014,13.9125,9.525,,23.01666667,,67.33333333,
5/7/2014,13.59166667,7.070833333,,18.3875,,63.875,
5/8/2014,9.775,6.608333333,,19.40833333,,50.20833333,
5/9/2014,15.12916667,7.4375,,17.22916667,,65.70833333,
5/10/2014,12.12083333,6.704166667,,14.7125,,61.54166667,
5/11/2014,11.5625,6.075,,12.89166667,,65.58333333,
5/12/2014,11.71666667,6.358333333,,21.8,,54.54166667,
5/13/2014,11.84583333,8.083333333,,31.65416667,,36.66666667,
5/14/2014,12.875,9.920833333,,31.25,,44.08333333,
5/15/2014,24.6375,17.97916667,,40.10416667,,41.5,
5/16/2014,27.69166667,19.47083333,,47.90416667,,45.625,
5/17/2014,31.83333333,24.84583333,,44.55833333,,41.70833333,
5/18/2014,29.3,22.46666667,,28.94166667,,71.95833333,
5/19/2014,31.1125,19.7875,,31.32916667,,75,
5/20/2014,18.37916667,11.3875,,31.2625,,71.5,
5/21/2014,15.94583333,10.65,,32.35416667,,50.33333333,
5/22/2014,8.725,5.6125,,19.88333333,,64.625,
5/23/2014,12.11666667,7.416666667,,18.35416667,,65,
5/24/2014,10.3875,7.770833333,,26.30833333,,53.70833333,
5/25/2014,11.59166667,6.645833333,,15.375,,64.625,
5/26/2014,12.7875,9.391666667,,37.37916667,,34.66666667,
5/27/2014,10.96666667,7.2875,,22.67916667,,56.125,
5/28/2014,10.08333333,7.8875,,30.62083333,,34.54166667,
5/29/2014,17.44166667,13.14583333,,27.2375,,34.45833333,
5/30/2014,19.7,14.8125,,21.97083333,,44.95833333,
5/31/2014,21.32916667,14.84583333,,31.65,,48.41666667,
6/1/2014,25.7375,18.7,,31.475,,58.83333333,
6/2/2014,19.58333333,13.9875,,33.87083333,,44.33333333,
6/3/2014,13.08333333,8.8625,,24.95,,40.125,
6/4/2014,10.025,7.0625,,28.5,,39.875,
6/5/2014,10.45,6.720833333,,19.35833333,,51.45833333,
6/6/2014,18.0875,11.77083333,,30.55833333,,52.04166667,
6/7/2014,19.85833333,12.40833333,,28.86666667,,59.875,
6/8/2014,13.28333333,9.3625,,27.32083333,,51.45833333,
6/9/2014,18.37083333,13.05416667,,31.35833333,,54.125,
6/10/2014,13.36666667,8.758333333,,24.53333333,,46.5,
